,year,avg_temp
0,1764,51.13
1,1765,49.6
2,1766,50.88
3,1767,48.94
4,1768,48.11
5,1769,49.62
6,1770,49.39
7,1771,50.79
8,1772,50.49
9,1773,50.76
10,1774,50.49
11,1775,51.78
12,1776,49.96
13,1777,49.41
14,1778,45.73
15,1779,50.58
16,1780,54.57
17,1781,50.32
18,1782,49.44
19,1783,48.99
20,1784,48.92
21,1785,48.56
22,1786,49.55
23,1787,49.6
24,1788,50.5
25,1789,50.05
26,1790,49.87
27,1791,50.22
28,1792,49.32
29,1793,50.36
30,1794,50.54
31,1795,50.02
32,1796,49.86
33,1797,49.39
34,1798,50.77
35,1799,50.2
36,1800,50.2
37,1801,50.85
38,1802,51.19
39,1803,50.86
40,1804,50.74
41,1805,51.13
42,1806,50.18
43,1807,49.78
44,1808,49.71
45,1809,48.27
46,1810,48.6
47,1811,48.87
48,1812,47.01
49,1813,49.41
50,1814,49.19
51,1815,47.95
52,1816,46.89
53,1817,47.37
54,1818,48.96
55,1819,48.54
56,1820,48.24
57,1821,48.34
58,1822,49.77
59,1823,48.76
60,1824,49.23
61,1825,51.57
62,1826,50.34
63,1827,51.04
64,1828,51.8
65,1829,49.89
66,1830,52.0
67,1831,48.24
68,1832,50.59
69,1833,51.26
70,1834,51.66
71,1835,48.99
72,1836,47.62
73,1837,48.96
74,1838,47.86
75,1839,51.03
76,1840,50.43
77,1841,49.69
78,1842,50.58
79,1843,47.8
80,1844,50.5
81,1845,51.08
82,1846,52.32
83,1847,48.61
84,1848,49.59
85,1849,48.81
86,1850,49.8
87,1851,50.31
88,1852,49.68
89,1853,50.38
90,1854,51.73
91,1855,49.48
92,1856,47.59
93,1857,47.77
94,1858,50.95
95,1859,49.57
96,1860,49.55
97,1861,49.32
98,1862,48.85
99,1863,49.51
100,1864,48.83
101,1865,49.86
102,1866,48.29
103,1867,48.97
104,1868,47.98
105,1869,47.71
106,1870,50.99
107,1871,49.84
108,1872,47.7
109,1873,47.91
110,1874,50.32
111,1875,46.04
112,1876,49.44
113,1877,51.22
114,1878,52.36
115,1879,50.2
116,1880,50.83
117,1881,50.45
118,1882,50.68
119,1883,47.16
120,1884,48.83
121,1885,46.33
122,1886,48.92
123,1887,49.35
124,1888,47.73
125,1889,50.04
126,1890,50.38
127,1891,50.52
128,1892,48.58
129,1893,48.04
130,1894,51.42
131,1895,48.78
132,1896,50.7
133,1897,50.09
134,1898,50.43
135,1899,50.22
136,1900,51.13
137,1901,49.77
138,1902,50.07
139,1903,49.23
140,1904,47.41
141,1905,48.96
142,1906,51.01
143,1907,48.78
144,1908,51.22
145,1909,49.8
146,1910,50.36
147,1911,51.57
148,1912,48.11
149,1913,51.49
150,1914,50.36
151,1915,49.96
152,1916,49.71
153,1917,46.51
154,1918,50.11
155,1919,51.15
156,1920,49.69
157,1921,54.1
158,1922,51.66
159,1923,50.22
160,1924,47.79
161,1925,49.87
162,1926,48.42
163,1927,50.97
164,1928,50.38
165,1929,48.7
166,1930,51.42
167,1931,54.3
168,1932,51.1
169,1933,51.96
170,1934,51.57
171,1935,50.02
172,1936,49.75
173,1937,49.98
174,1938,52.52
175,1939,52.43
176,1940,49.41
177,1941,52.54
178,1942,50.74
179,1943,49.5
180,1944,51.48
181,1945,49.93
182,1946,52.52
183,1947,50.4
184,1948,50.74
185,1949,52.12
186,1950,48.97
187,1951,48.96
188,1952,51.64
189,1953,53.01
190,1954,52.0
191,1955,51.82
192,1956,51.3
193,1957,50.76
194,1958,49.82
195,1959,50.77
196,1960,50.2
197,1961,51.04
198,1962,49.98
199,1963,49.8
200,1964,51.91
201,1965,50.61
202,1966,50.09
203,1967,49.71
204,1968,51.19
205,1969,50.05
206,1970,50.61
207,1971,51.04
208,1972,48.9
209,1973,52.79
210,1974,50.63
211,1975,51.48
212,1976,49.62
213,1977,50.83
214,1978,49.03
215,1979,48.87
216,1980,50.09
217,1981,50.97
218,1982,49.98
219,1983,51.69
220,1984,51.19
221,1985,50.2
222,1986,51.48
223,1987,53.67
224,1988,51.55
225,1989,49.64
226,1990,52.7
227,1991,52.84
228,1992,50.43
229,1993,50.32
230,1994,51.01
231,1995,51.03
232,1996,49.21
233,1997,50.25
234,1998,55.06
235,1999,53.1
236,2000,51.96
237,2001,53.06
238,2002,52.75
239,2003,50.86
240,2004,51.69
241,2005,52.84
242,2006,53.37
243,2007,52.61
244,2008,50.43
245,2009,50.54
246,2010,53.28
247,2011,52.18
248,2012,55.08
249,2013,52.86
